grid,hint_facts,hint_constraints,hint_derived,number_constraints,number_facts,number_block_cons,number_col_cons,number_row_cons,adjacent_row_used,adjacent_col_used,adjacent_block_used,other_row_cons,other_col_cons,other_block_cons,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,number_adjacent_block_facts,number_adjacent_col_facts,number_adjacent_constraints,number_adjacent_facts,number_adjacent_row_facts,number_other_constraints,number_other_facts,time,obj_value
"[[0 0 2 0 0 3 9 0 6]
 [0 0 0 0 7 9 0 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 2, 2]], ['FACT', [0, 6, 9]], ['FACT', [0, 8, 6]], ['FACT', [1, 4, 7]], ['FACT', [3, 4, 3]], ['FACT', [5, 4, 5]], ['FACT', [6, 4, 8]], ['FACT', [8, 4, 4]]]","[['ROW', 2], ['ROW', 1], ['COL', 3], ['COL', 5], ['COL', 4], ['BLOCK', [[0, 6], [3, 9]]], ['BLOCK', [[6, 3], [9, 6]]], ['BLOCK', [[3, 3], [6, 6]]], ['BLOCK', [[0, 0], [3, 3]]]]","['DERIVED', [0, 4, 1]]",9,8,4,3,2,0,1,0,2,2,4,8,0,0,1,5,1,8,3,8,0,8.243760347366333,186.2
"[[0 0 2 0 1 3 9 0 6]
 [0 0 0 0 7 9 0 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 2, 2]], ['FACT', [0, 4, 1]], ['FACT', [0, 5, 3]], ['FACT', [0, 6, 9]], ['FACT', [2, 1, 8]], ['FACT', [6, 1, 5]], ['FACT', [7, 1, 6]], ['FACT', [8, 1, 7]]]","[['ROW', 2], ['ROW', 1], ['COL', 1], ['COL', 2], ['COL', 0], ['BLOCK', [[0, 6], [3, 9]]], ['BLOCK', [[3, 0], [6, 3]]], ['BLOCK', [[0, 3], [3, 6]]], ['BLOCK', [[6, 0], [9, 3]]]]","['DERIVED', [0, 1, 4]]",9,8,4,3,2,0,1,0,2,2,4,8,0,0,2,4,1,8,4,8,0,17.059078454971313,295.2
"[[0 4 2 0 1 3 9 0 6]
 [0 0 0 0 7 9 0 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 1, 4]], ['FACT', [0, 2, 2]], ['FACT', [0, 6, 9]], ['FACT', [1, 4, 7]], ['FACT', [1, 5, 9]], ['FACT', [2, 1, 8]], ['FACT', [2, 6, 2]], ['FACT', [3, 4, 3]], ['FACT', [4, 3, 9]], ['FACT', [5, 4, 5]], ['FACT', [5, 8, 8]], ['FACT', [6, 1, 5]], ['FACT', [6, 4, 8]], ['FACT', [6, 6, 3]], ['FACT', [7, 1, 6]], ['FACT', [8, 1, 7]], ['FACT', [8, 4, 4]]]","[['ROW', 5], ['ROW', 1], ['ROW', 3], ['COL', 6], ['COL', 2], ['COL', 4], ['COL', 0], ['BLOCK', [[0, 6], [3, 9]]], ['BLOCK', [[3, 0], [6, 3]]], ['BLOCK', [[0, 3], [3, 6]]], ['BLOCK', [[6, 0], [9, 3]]], ['BLOCK', [[3, 3], [6, 6]]], ['BLOCK', [[3, 6], [6, 9]]], ['BLOCK', [[0, 0], [3, 3]]]]","['DERIVED', [4, 1, 1]]",14,17,7,4,3,0,0,1,3,4,6,6,0,11,0,5,1,6,1,13,11,15.019933462142944,1196.1999999999998
"[[0 4 2 0 1 3 9 0 6]
 [0 0 0 0 7 9 0 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 1 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 1, 4]], ['FACT', [0, 2, 2]], ['FACT', [0, 6, 9]], ['FACT', [1, 5, 9]], ['FACT', [2, 6, 2]], ['FACT', [4, 1, 1]], ['FACT', [5, 8, 8]], ['FACT', [6, 1, 5]], ['FACT', [7, 1, 6]], ['FACT', [8, 1, 7]], ['FACT', [8, 7, 8]]]","[['ROW', 2], ['ROW', 0], ['COL', 6], ['COL', 1], ['COL', 2], ['COL', 0], ['BLOCK', [[0, 6], [3, 9]]], ['BLOCK', [[3, 0], [6, 3]]], ['BLOCK', [[0, 3], [3, 6]]], ['BLOCK', [[6, 0], [9, 3]]], ['BLOCK', [[6, 6], [9, 9]]], ['BLOCK', [[3, 6], [6, 9]]]]","['DERIVED', [1, 1, 3]]",12,11,6,4,2,0,1,0,2,3,6,7,0,4,2,5,1,7,1,11,4,26.383084058761597,676.3
"[[0 4 2 0 1 3 9 0 6]
 [0 3 0 0 7 9 0 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 1 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 4, 1]], ['FACT', [1, 4, 7]], ['FACT', [1, 5, 9]], ['FACT', [2, 6, 2]], ['FACT', [3, 4, 3]], ['FACT', [5, 4, 5]], ['FACT', [6, 4, 8]], ['FACT', [8, 4, 4]]]","[['ROW', 1], ['ROW', 0], ['COL', 3], ['COL', 5], ['COL', 4], ['BLOCK', [[0, 6], [3, 9]]], ['BLOCK', [[6, 3], [9, 6]]], ['BLOCK', [[3, 3], [6, 6]]], ['BLOCK', [[0, 0], [3, 3]]]]","['DERIVED', [2, 4, 6]]",9,8,4,3,2,0,1,0,2,2,4,8,0,0,3,6,1,8,1,8,0,35.12551212310791,367.2
"[[0 4 2 0 1 3 9 0 6]
 [0 3 0 0 7 9 0 0 0]
 [0 8 0 0 6 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 1 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 4, 1]], ['FACT', [1, 4, 7]], ['FACT', [2, 4, 6]], ['FACT', [3, 3, 4]], ['FACT', [4, 3, 9]], ['FACT', [6, 4, 8]], ['FACT', [7, 8, 4]]]","[['ROW', 8], ['ROW', 6], ['COL', 3], ['COL', 5], ['BLOCK', [[6, 3], [9, 6]]], ['BLOCK', [[0, 3], [3, 6]]], ['BLOCK', [[6, 0], [9, 3]]], ['BLOCK', [[6, 6], [9, 9]]]]","['DERIVED', [7, 4, 9]]",8,7,4,2,2,0,0,1,2,2,3,5,1,1,1,4,1,5,1,7,2,19.727295875549316,364.8
"[[0 4 2 0 1 3 9 0 6]
 [0 3 0 0 7 9 0 0 0]
 [0 8 0 0 6 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 1 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 9 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 4, 1]], ['FACT', [1, 4, 7]], ['FACT', [2, 4, 6]], ['FACT', [3, 4, 3]], ['FACT', [5, 4, 5]], ['FACT', [6, 4, 8]], ['FACT', [7, 4, 9]], ['FACT', [8, 4, 4]]]","[['COL', 4]]","['DERIVED', [4, 4, 2]]",1,8,0,1,0,0,1,0,0,0,0,8,0,0,2,8,1,8,0,0,0,21.94389510154724,218.8
"[[0 4 2 0 1 3 9 0 6]
 [0 3 0 0 7 9 0 0 0]
 [0 8 0 0 6 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 1 0 9 2 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 9 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 4, 1]], ['FACT', [0, 5, 3]], ['FACT', [0, 6, 9]], ['FACT', [1, 4, 7]], ['FACT', [2, 4, 6]], ['FACT', [3, 3, 4]], ['FACT', [4, 3, 9]], ['FACT', [7, 6, 5]], ['FACT', [7, 8, 4]], ['FACT', [8, 1, 7]], ['FACT', [8, 2, 3]], ['FACT', [8, 7, 8]], ['FACT', [8, 8, 2]]]","[['ROW', 7], ['ROW', 6], ['COL', 6], ['COL', 3], ['COL', 4], ['BLOCK', [[6, 3], [9, 6]]], ['BLOCK', [[0, 3], [3, 6]]], ['BLOCK', [[6, 0], [9, 3]]], ['BLOCK', [[3, 3], [6, 6]]], ['BLOCK', [[6, 6], [9, 9]]]]","['DERIVED', [8, 5, 5]]",10,13,5,3,2,0,0,1,2,3,4,5,1,7,0,1,1,5,4,9,8,23.794838666915894,901.9
"[[0 4 2 0 1 3 9 0 6]
 [0 3 0 0 7 9 0 0 0]
 [0 8 0 0 6 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 1 0 9 2 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 9 0 5 0 4]
 [0 7 3 0 4 5 0 8 2]]","[['FACT', [0, 5, 3]], ['FACT', [2, 1, 8]], ['FACT', [2, 6, 2]], ['FACT', [3, 3, 4]], ['FACT', [4, 3, 9]], ['FACT', [4, 4, 2]], ['FACT', [5, 4, 5]], ['FACT', [6, 4, 8]], ['FACT', [7, 4, 9]], ['FACT', [8, 4, 4]]]","[['ROW', 1], ['ROW', 0], ['COL', 5], ['COL', 4], ['BLOCK', [[0, 6], [3, 9]]], ['BLOCK', [[6, 3], [9, 6]]], ['BLOCK', [[0, 3], [3, 6]]], ['BLOCK', [[3, 3], [6, 6]]], ['BLOCK', [[0, 0], [3, 3]]]]","['DERIVED', [2, 3, 5]]",9,10,5,2,2,0,0,1,2,2,4,5,1,4,1,2,1,5,2,8,5,24.35532784461975,672.9
"[[0 4 2 0 1 3 9 0 6]
 [0 3 0 0 7 9 0 0 0]
 [0 8 0 5 6 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 1 0 9 2 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 9 0 5 0 4]
 [0 7 3 0 4 5 0 8 2]]","[['FACT', [0, 1, 4]], ['FACT', [0, 2, 2]], ['FACT', [0, 8, 6]], ['FACT', [1, 1, 3]], ['FACT', [1, 4, 7]], ['FACT', [1, 5, 9]], ['FACT', [2, 3, 5]], ['FACT', [3, 0, 5]], ['FACT', [5, 8, 8]], ['FACT', [7, 8, 4]], ['FACT', [8, 8, 2]]]","[['ROW', 2], ['ROW', 0], ['COL', 6], ['COL', 0], ['COL', 7], ['BLOCK', [[0, 6], [3, 9]]], ['BLOCK', [[0, 3], [3, 6]]], ['BLOCK', [[6, 6], [9, 9]]], ['BLOCK', [[3, 6], [6, 9]]], ['BLOCK', [[0, 0], [3, 3]]]]","['DERIVED', [1, 8, 1]]",10,11,5,3,2,0,0,1,2,3,4,7,0,4,1,4,1,7,3,9,4,22.90867590904236,595.0999999999999
"[[0 4 2 0 1 3 9 0 6]
 [0 3 0 0 7 9 0 0 1]
 [0 8 0 5 6 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 1 0 9 2 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 9 0 5 0 4]
 [0 7 3 0 4 5 0 8 2]]","[['FACT', [0, 6, 9]], ['FACT', [0, 8, 6]], ['FACT', [1, 8, 1]], ['FACT', [2, 6, 2]], ['FACT', [3, 0, 5]], ['FACT', [3, 4, 3]], ['FACT', [5, 8, 8]], ['FACT', [6, 6, 3]], ['FACT', [7, 6, 5]], ['FACT', [7, 8, 4]], ['FACT', [8, 1, 7]], ['FACT', [8, 7, 8]], ['FACT', [8, 8, 2]]]","[['ROW', 5], ['ROW', 4], ['ROW', 8], ['COL', 6], ['COL', 7], ['BLOCK', [[0, 6], [3, 9]]], ['BLOCK', [[3, 0], [6, 3]]], ['BLOCK', [[3, 3], [6, 6]]], ['BLOCK', [[6, 6], [9, 9]]], ['BLOCK', [[3, 6], [6, 9]]]]","['DERIVED', [3, 8, 9]]",10,13,5,2,3,0,0,1,3,2,4,7,1,5,1,5,1,7,2,9,6,46.3744580745697,786.1
"[[0 4 2 0 1 3 9 0 6]
 [0 3 0 0 7 9 0 0 1]
 [0 8 0 5 6 0 2 0 0]
 [5 0 0 4 3 0 0 0 9]
 [0 1 0 9 2 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 9 0 5 0 4]
 [0 7 3 0 4 5 0 8 2]]","[['FACT', [0, 1, 4]], ['FACT', [1, 1, 3]], ['FACT', [2, 1, 8]], ['FACT', [3, 8, 9]], ['FACT', [4, 1, 1]], ['FACT', [6, 1, 5]], ['FACT', [7, 1, 6]], ['FACT', [8, 1, 7]]]","[['ROW', 5], ['ROW', 4], ['COL', 1], ['COL', 2], ['COL', 0], ['BLOCK', [[6, 0], [9, 3]]], ['BLOCK', [[3, 3], [6, 6]]], ['BLOCK', [[3, 6], [6, 9]]], ['BLOCK', [[0, 0], [3, 3]]]]","['DERIVED', [3, 1, 2]]",9,8,4,3,2,0,1,0,2,2,4,8,0,0,1,7,1,8,1,8,0,16.724538564682007,168.2
"[[0 4 2 0 1 3 9 0 6]
 [0 3 0 0 7 9 0 0 1]
 [0 8 0 5 6 0 2 0 0]
 [5 2 0 4 3 0 0 0 9]
 [0 1 0 9 2 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 9 0 5 0 4]
 [0 7 3 0 4 5 0 8 2]]","[['FACT', [0, 1, 4]], ['FACT', [1, 1, 3]], ['FACT', [2, 1, 8]], ['FACT', [3, 1, 2]], ['FACT', [4, 1, 1]], ['FACT', [6, 1, 5]], ['FACT', [7, 1, 6]], ['FACT', [8, 1, 7]]]","[['COL', 1]]","['DERIVED', [5, 1, 9]]",1,8,0,1,0,0,1,0,0,0,0,8,0,0,2,8,1,8,0,0,0,27.149006605148315,218.8
"[[0 4 2 0 1 3 9 0 6]
 [0 3 0 0 7 9 0 0 1]
 [0 8 0 5 6 0 2 0 0]
 [5 2 0 4 3 0 0 0 9]
 [0 1 0 9 2 0 0 0 0]
 [0 9 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 9 0 5 0 4]
 [0 7 3 0 4 5 0 8 2]]","[['FACT', [0, 6, 9]], ['FACT', [0, 8, 6]], ['FACT', [2, 3, 5]], ['FACT', [3, 3, 4]], ['FACT', [3, 8, 9]], ['FACT', [6, 6, 3]], ['FACT', [7, 1, 6]], ['FACT', [7, 4, 9]], ['FACT', [8, 1, 7]], ['FACT', [8, 2, 3]], ['FACT', [8, 7, 8]], ['FACT', [8, 8, 2]]]","[['ROW', 6], ['ROW', 7], ['COL', 6], ['COL', 3], ['COL', 5], ['COL', 8], ['COL', 4], ['BLOCK', [[0, 3], [3, 6]]], ['BLOCK', [[3, 3], [6, 6]]], ['BLOCK', [[6, 6], [9, 9]]], ['BLOCK', [[6, 0], [9, 3]]]]","['DERIVED', [8, 3, 1]]",11,12,4,5,2,0,1,0,2,4,4,7,0,5,1,2,1,7,4,10,5,47.12955045700073,713.1
"[[0 4 2 0 1 3 9 0 6]
 [0 3 0 0 7 9 0 0 1]
 [0 8 0 5 6 0 2 0 0]
 [5 2 0 4 3 0 0 0 9]
 [0 1 0 9 2 0 0 0 0]
 [0 9 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 9 0 5 0 4]
 [0 7 3 1 4 5 0 8 2]]","[['FACT', [0, 6, 9]], ['FACT', [2, 6, 2]], ['FACT', [8, 1, 7]], ['FACT', [8, 2, 3]], ['FACT', [8, 3, 1]], ['FACT', [8, 4, 4]], ['FACT', [8, 5, 5]], ['FACT', [8, 7, 8]]]","[['ROW', 6], ['ROW', 7], ['COL', 6], ['COL', 7], ['COL', 8], ['BLOCK', [[0, 6], [3, 9]]], ['BLOCK', [[6, 3], [9, 6]]], ['BLOCK', [[6, 0], [9, 3]]], ['BLOCK', [[3, 6], [6, 9]]]]","['DERIVED', [8, 6, 6]]",9,8,4,3,2,0,1,0,2,2,4,8,0,0,1,2,1,8,6,8,0,33.847978591918945,213.2
"[[0 4 2 0 1 3 9 0 6]
 [0 3 0 0 7 9 0 0 1]
 [0 8 0 5 6 0 2 0 0]
 [5 2 0 4 3 0 0 0 9]
 [0 1 0 9 2 0 0 0 0]
 [0 9 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 9 0 5 0 4]
 [0 7 3 1 4 5 6 8 2]]","[['FACT', [1, 5, 9]], ['FACT', [2, 6, 2]], ['FACT', [3, 8, 9]], ['FACT', [5, 8, 8]], ['FACT', [6, 6, 3]], ['FACT', [7, 6, 5]], ['FACT', [8, 6, 6]]]","[['ROW', 2], ['ROW', 0], ['COL', 7], ['COL', 8], ['BLOCK', [[0, 3], [3, 6]]], ['BLOCK', [[6, 6], [9, 9]]], ['BLOCK', [[0, 0], [3, 3]]], ['BLOCK', [[0, 6], [3, 9]]]]","['DERIVED', [1, 6, 8]]",8,7,4,2,2,0,0,1,2,2,3,5,1,1,1,4,1,5,1,7,2,55.64603853225708,364.8
