grid,hint_facts,hint_constraints,hint_derived,number_constraints,number_facts,number_block_cons,number_col_cons,number_row_cons,adjacent_row_used,adjacent_col_used,adjacent_block_used,other_row_cons,other_col_cons,other_block_cons,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,number_adjacent_block_facts,number_adjacent_col_facts,number_adjacent_constraints,number_adjacent_facts,number_adjacent_row_facts,number_other_constraints,number_other_facts,time,obj_value
"[[0 0 2 0 0 3 9 0 6]
 [0 0 0 0 7 9 0 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [1, 5, 9]], ['FACT', [4, 3, 9]], ['FACT', [6, 4, 8]], ['FACT', [8, 4, 4]]]","[['COL', 4], ['BLOCK', [[3, 3], [6, 6]]], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [7, 4, 9]]",3,4,2,1,0,0,1,0,0,0,2,2,2,0,2,2,1,2,0,2,2,14.943144798278809,236.0
"[[0 0 2 0 0 3 9 0 6]
 [0 0 0 0 7 9 0 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 9 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 6, 9]], ['FACT', [2, 6, 2]], ['FACT', [5, 8, 8]], ['FACT', [8, 7, 8]]]","[['COL', 6], ['BLOCK', [[3, 6], [6, 9]]], ['BLOCK', [[6, 6], [9, 9]]]]","['DERIVED', [1, 6, 8]]",3,4,2,1,0,0,1,0,0,0,2,2,2,0,2,2,1,2,0,2,2,22.38221001625061,236.0
"[[0 0 2 0 0 3 9 0 6]
 [0 0 0 0 7 9 8 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 9 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 5, 3]], ['FACT', [1, 5, 9]], ['FACT', [3, 3, 4]], ['FACT', [8, 4, 4]]]","[['COL', 5], ['BLOCK', [[3, 3], [6, 6]]], ['BLOCK', [[6, 3], [9, 6]]]]","['DERIVED', [2, 5, 4]]",3,4,2,1,0,0,1,0,0,0,2,2,2,0,2,2,1,2,0,2,2,21.699888706207275,236.0
"[[0 0 2 0 0 3 9 0 6]
 [0 0 0 0 7 9 8 0 0]
 [0 8 0 0 0 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 9 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 2, 2]], ['FACT', [1, 4, 7]], ['FACT', [2, 6, 2]], ['FACT', [3, 4, 3]], ['FACT', [5, 4, 5]], ['FACT', [6, 4, 8]], ['FACT', [7, 4, 9]], ['FACT', [8, 4, 4]]]","[['ROW', 1], ['COL', 4], ['BLOCK', [[0, 6], [3, 9]]], ['BLOCK', [[0, 3], [3, 6]]], ['BLOCK', [[0, 0], [3, 3]]]]","['DERIVED', [4, 4, 2]]",5,8,3,1,1,0,1,0,1,0,3,6,2,0,2,6,1,6,0,4,2,31.95439314842224,255.0
"[[0 0 2 0 0 3 9 0 6]
 [0 0 0 0 7 9 8 0 0]
 [0 8 0 0 0 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 2 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 9 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 8, 6]], ['FACT', [1, 4, 7]], ['FACT', [3, 4, 3]], ['FACT', [4, 4, 2]], ['FACT', [5, 4, 5]], ['FACT', [6, 4, 8]], ['FACT', [7, 4, 9]], ['FACT', [8, 4, 4]]]","[['ROW', 0], ['COL', 4]]","['DERIVED', [2, 4, 6]]",2,8,0,1,1,0,1,0,1,0,0,7,1,0,1,7,1,7,0,1,1,17.55744767189026,144.0
"[[0 0 2 0 0 3 9 0 6]
 [0 0 0 0 7 9 8 0 0]
 [0 8 0 0 6 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 2 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 9 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [1, 4, 7]], ['FACT', [2, 4, 6]], ['FACT', [3, 4, 3]], ['FACT', [4, 4, 2]], ['FACT', [5, 4, 5]], ['FACT', [6, 4, 8]], ['FACT', [7, 4, 9]], ['FACT', [8, 4, 4]]]","[['COL', 4]]","['DERIVED', [0, 4, 1]]",1,8,0,1,0,0,1,0,0,0,0,8,0,0,2,8,1,8,0,0,0,17.540451526641846,46.0
"[[0 0 2 0 1 3 9 0 6]
 [0 0 0 0 7 9 8 0 0]
 [0 8 0 0 6 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 2 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 9 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 4, 1]], ['FACT', [0, 5, 3]], ['FACT', [1, 4, 7]], ['FACT', [1, 5, 9]], ['FACT', [2, 4, 6]], ['FACT', [3, 3, 4]], ['FACT', [6, 1, 5]], ['FACT', [6, 4, 8]], ['FACT', [7, 4, 9]], ['FACT', [7, 6, 5]]]","[['ROW', 8], ['COL', 4], ['COL', 3], ['BLOCK', [[6, 6], [9, 9]]], ['BLOCK', [[6, 0], [9, 3]]], ['BLOCK', [[3, 3], [6, 6]]], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [8, 5, 5]]",7,10,4,2,1,1,0,0,0,2,4,4,2,4,2,2,1,4,0,6,6,22.929635047912598,640.02
"[[0 0 2 0 1 3 9 0 6]
 [0 0 0 0 7 9 8 0 0]
 [0 8 0 0 6 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 2 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 9 0 5 0 4]
 [0 7 3 0 4 5 0 8 2]]","[['FACT', [0, 4, 1]], ['FACT', [0, 5, 3]], ['FACT', [0, 6, 9]], ['FACT', [0, 8, 6]], ['FACT', [1, 4, 7]], ['FACT', [2, 1, 8]], ['FACT', [2, 4, 6]], ['FACT', [2, 6, 2]], ['FACT', [3, 3, 4]], ['FACT', [4, 3, 9]], ['FACT', [8, 7, 8]]]","[['ROW', 1], ['ROW', 0], ['COL', 7], ['COL', 4], ['COL', 5], ['BLOCK', [[0, 6], [3, 9]]], ['BLOCK', [[3, 3], [6, 6]]], ['BLOCK', [[0, 0], [3, 3]]], ['BLOCK', [[6, 3], [9, 6]]]]","['DERIVED', [1, 3, 2]]",9,11,4,3,2,1,0,0,1,3,4,6,1,4,4,2,1,6,1,8,5,29.889193534851074,672.03
"[[0 0 2 0 1 3 9 0 6]
 [0 0 0 2 7 9 8 0 0]
 [0 8 0 0 6 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 2 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 9 0 5 0 4]
 [0 7 3 0 4 5 0 8 2]]","[['FACT', [0, 4, 1]], ['FACT', [0, 5, 3]], ['FACT', [1, 3, 2]], ['FACT', [1, 4, 7]], ['FACT', [2, 1, 8]], ['FACT', [2, 4, 6]], ['FACT', [3, 3, 4]], ['FACT', [4, 3, 9]]]","[['ROW', 1], ['ROW', 0], ['COL', 4], ['COL', 5], ['COL', 3], ['BLOCK', [[0, 6], [3, 9]]], ['BLOCK', [[3, 3], [6, 6]]], ['BLOCK', [[0, 0], [3, 3]]], ['BLOCK', [[6, 3], [9, 6]]]]","['DERIVED', [2, 3, 5]]",9,8,4,3,2,0,1,0,2,2,4,8,0,0,5,3,1,8,2,8,0,19.197789430618286,295.02
"[[0 0 2 0 1 3 9 0 6]
 [0 0 0 2 7 9 8 0 0]
 [0 8 0 5 6 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 2 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 9 0 5 0 4]
 [0 7 3 0 4 5 0 8 2]]","[['FACT', [1, 3, 2]], ['FACT', [2, 3, 5]], ['FACT', [3, 3, 4]], ['FACT', [4, 3, 9]], ['FACT', [5, 8, 8]], ['FACT', [6, 4, 8]]]","[['ROW', 5], ['COL', 3], ['BLOCK', [[6, 3], [9, 6]]]]","['DERIVED', [0, 3, 8]]",3,6,1,1,1,0,1,0,1,0,1,4,2,0,2,4,1,4,0,2,2,14.317930936813354,249.0
