grid,hint_facts,hint_constraints,hint_derived,number_constraints,number_facts,number_block_cons,number_col_cons,number_row_cons,adjacent_row_used,adjacent_col_used,adjacent_block_used,other_row_cons,other_col_cons,other_block_cons,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,number_adjacent_block_facts,number_adjacent_col_facts,number_adjacent_constraints,number_adjacent_facts,number_adjacent_row_facts,number_other_constraints,number_other_facts,time,obj_value
"[[0 0 2 0 0 3 9 0 6]
 [0 0 0 0 7 9 0 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 5, 3]], ['FACT', [3, 4, 3]], ['FACT', [6, 6, 3]], ['FACT', [8, 2, 3]]]","[['ROW', 7], ['COL', 5], ['COL', 4], ['BLOCK', [[6, 0], [9, 3]]], ['BLOCK', [[6, 6], [9, 9]]]]","['DERIVED', [7, 3, 3]]",5,4,2,2,1,1,0,0,0,2,2,0,4,0,0,0,1,0,0,4,4,7.3781843185424805,41.04
"[[0 0 2 0 0 3 9 0 6]
 [0 0 0 0 7 9 0 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 6, 9]], ['FACT', [2, 1, 8]], ['FACT', [5, 8, 8]], ['FACT', [8, 7, 8]]]","[['ROW', 1], ['ROW', 0], ['COL', 8], ['COL', 7], ['BLOCK', [[0, 0], [3, 3]]], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [1, 6, 8]]",6,4,2,2,2,1,0,0,1,2,2,1,3,0,1,1,1,1,0,5,3,12.876795768737793,141.15
"[[0 0 2 0 0 3 9 0 6]
 [0 0 0 0 7 9 8 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 5, 3]], ['FACT', [1, 6, 8]], ['FACT', [2, 1, 8]], ['FACT', [6, 4, 8]]]","[['ROW', 0], ['COL', 4], ['BLOCK', [[0, 0], [3, 3]]], ['BLOCK', [[0, 6], [3, 9]]]]","['DERIVED', [0, 3, 8]]",4,4,2,1,1,1,0,0,0,1,2,1,3,0,1,0,1,1,1,3,3,7.856058120727539,141.13
"[[0 0 2 8 0 3 9 0 6]
 [0 0 0 0 7 9 8 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 2, 2]], ['FACT', [0, 3, 8]], ['FACT', [0, 5, 3]], ['FACT', [0, 8, 6]], ['FACT', [3, 0, 5]], ['FACT', [5, 4, 5]], ['FACT', [6, 1, 5]], ['FACT', [7, 6, 5]]]","[['ROW', 4], ['ROW', 0], ['COL', 0], ['COL', 6], ['COL', 7], ['COL', 4], ['COL', 1], ['BLOCK', [[3, 0], [6, 3]]], ['BLOCK', [[3, 3], [6, 6]]]]","['DERIVED', [4, 8, 5]]",9,8,2,5,2,1,0,0,1,5,2,1,4,3,0,1,1,1,0,8,7,10.91028881072998,141.21
"[[0 0 2 8 0 3 9 0 6]
 [0 0 0 0 7 9 8 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 5]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 2, 2]], ['FACT', [0, 6, 9]], ['FACT', [1, 4, 7]], ['FACT', [1, 5, 9]], ['FACT', [2, 1, 8]], ['FACT', [2, 6, 2]], ['FACT', [3, 4, 3]], ['FACT', [4, 3, 9]], ['FACT', [5, 4, 5]], ['FACT', [5, 8, 8]], ['FACT', [6, 1, 5]], ['FACT', [6, 4, 8]], ['FACT', [6, 6, 3]], ['FACT', [7, 1, 6]], ['FACT', [8, 1, 7]], ['FACT', [8, 2, 3]], ['FACT', [8, 4, 4]]]","[['ROW', 1], ['ROW', 4], ['ROW', 3], ['ROW', 5], ['ROW', 2], ['ROW', 0], ['COL', 6], ['COL', 2], ['COL', 4], ['COL', 1], ['BLOCK', [[0, 0], [3, 3]]], ['BLOCK', [[3, 6], [6, 9]]], ['BLOCK', [[3, 3], [6, 6]]]]","['DERIVED', [5, 0, 3]]",13,17,3,4,6,1,0,0,5,4,3,2,3,12,0,0,1,2,2,12,15,14.116520881652832,231.44
"[[0 0 2 8 0 3 9 0 6]
 [0 0 0 0 7 9 8 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 5]
 [3 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 2, 2]], ['FACT', [0, 3, 8]], ['FACT', [0, 5, 3]], ['FACT', [0, 8, 6]], ['FACT', [3, 0, 5]], ['FACT', [3, 4, 3]], ['FACT', [5, 0, 3]], ['FACT', [5, 4, 5]], ['FACT', [6, 1, 5]], ['FACT', [6, 6, 3]], ['FACT', [7, 6, 5]]]","[['ROW', 4], ['ROW', 3], ['ROW', 5], ['ROW', 0], ['COL', 0], ['COL', 6], ['COL', 8], ['COL', 4], ['COL', 1], ['BLOCK', [[3, 0], [6, 3]]], ['BLOCK', [[6, 6], [9, 9]]], ['BLOCK', [[3, 3], [6, 6]]], ['BLOCK', [[0, 6], [3, 9]]]]","['DERIVED', [4, 7, 3]]",13,11,4,5,4,1,0,0,3,5,4,0,4,7,0,0,1,0,0,12,11,8.742165327072144,41.19
"[[0 0 2 8 0 3 9 0 6]
 [0 0 0 0 7 9 8 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 3 5]
 [3 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 5, 3]], ['FACT', [2, 1, 8]], ['FACT', [5, 0, 3]], ['FACT', [8, 2, 3]]]","[['ROW', 1], ['ROW', 2], ['COL', 0], ['COL', 2], ['BLOCK', [[0, 3], [3, 6]]], ['BLOCK', [[0, 6], [3, 9]]]]","['DERIVED', [1, 1, 3]]",6,4,2,2,2,1,0,0,1,2,2,1,3,0,1,1,1,1,0,5,3,10.211833477020264,141.15
"[[0 0 2 8 0 3 9 0 6]
 [0 3 0 0 7 9 8 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 3 5]
 [3 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 5, 3]], ['FACT', [1, 1, 3]], ['FACT', [4, 7, 3]], ['FACT', [6, 6, 3]]]","[['ROW', 2], ['COL', 6], ['COL', 7], ['BLOCK', [[0, 0], [3, 3]]], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [2, 8, 3]]",5,4,2,2,1,1,0,0,0,2,2,0,4,0,0,0,1,0,0,4,4,5.9311933517456055,41.04
"[[0 0 2 8 0 3 9 0 6]
 [0 3 0 0 7 9 8 0 0]
 [0 8 0 0 0 0 2 0 3]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 3 5]
 [3 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 6, 9]], ['FACT', [0, 8, 6]], ['FACT', [1, 1, 3]], ['FACT', [1, 5, 9]], ['FACT', [3, 3, 4]], ['FACT', [3, 4, 3]], ['FACT', [4, 7, 3]], ['FACT', [7, 3, 3]], ['FACT', [8, 4, 4]]]","[['ROW', 1], ['ROW', 2], ['ROW', 0], ['COL', 3], ['COL', 7], ['COL', 4], ['BLOCK', [[0, 0], [3, 3]]], ['BLOCK', [[0, 6], [3, 9]]]]","['DERIVED', [2, 5, 4]]",8,9,2,3,3,1,0,0,2,3,2,1,2,6,1,1,1,1,0,7,8,10.066540479660034,131.23
"[[0 0 2 8 0 3 9 0 6]
 [0 3 0 0 7 9 8 0 0]
 [0 8 0 0 0 4 2 0 3]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 3 5]
 [3 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 5, 3]], ['FACT', [0, 6, 9]], ['FACT', [1, 5, 9]], ['FACT', [2, 1, 8]], ['FACT', [4, 3, 9]], ['FACT', [5, 0, 3]], ['FACT', [6, 6, 3]], ['FACT', [7, 3, 3]], ['FACT', [8, 1, 7]], ['FACT', [8, 4, 4]], ['FACT', [8, 7, 8]], ['FACT', [8, 8, 2]]]","[['ROW', 8], ['ROW', 2], ['COL', 0], ['COL', 6], ['COL', 3], ['COL', 5], ['BLOCK', [[0, 3], [3, 6]]], ['BLOCK', [[0, 6], [3, 9]]]]","['DERIVED', [2, 2, 9]]",8,12,2,4,2,1,0,0,1,4,2,1,3,8,1,0,1,1,1,7,11,10.042303323745728,141.25
